image_name,pull_count,star_count,categories
datastax/astra-assistants,10K+,0,databases-and-storage;languages-and-frameworks;machine-learning-and-ai
vitess/logtail,100K+,0,databases-and-storage;monitoring-and-observability
k8ssandra/k8ssandra-cleaner,10K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
elestio/baserow-backend,10K+,1,api-management;databases-and-storage;integration-and-delivery
gollumwiki/gollum,100K+,8,content-management-system;databases-and-storage
elestio/zinc,10K+,1,databases-and-storage;integration-and-delivery
vitess/logrotate,100K+,0,databases-and-storage;monitoring-and-observability;operating-systems
elestio/baserow-frontend,10K+,2,content-management-system;databases-and-storage
redislabs/rgcluster,10K+,1,databases-and-storage;machine-learning-and-ai;monitoring-and-observability
linuxserver/rsnapshot,100K+,41,databases-and-storage;integration-and-delivery;security
wikibase/quickstatements,100K+,1,data-science;databases-and-storage;integration-and-delivery
gchq/hdfs,100K+,4,data-science;databases-and-storage;security
pecan/bety,100K+,1,data-science;databases-and-storage;integration-and-delivery
wikibase/wikibase,100K+,12,content-management-system;data-science;databases-and-storage
smartonfhir/hapi,100K+,8,api-management;databases-and-storage;security
apache/cassandra-bullseye-build,100K+,0,databases-and-storage;integration-and-delivery;operating-systems
ckan/ckan-postgres-dev,100K+,0,content-management-system;databases-and-storage
wikibase/wdqs,100K+,3,data-science;databases-and-storage;web-analytics
mathesar/mathesar,100K+,2,data-science;databases-and-storage
redislabs/redis-connect-postgres,9.3K,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
corpusops/pgrouting,100K+,0,data-science;databases-and-storage
crossplane/stack-aws,100K+,1,databases-and-storage;integration-and-delivery;security
rucio/rucio-clients,100K+,1,data-science;databases-and-storage
longhornio/openshift-origin-oauth-proxy,100K+,0,databases-and-storage
botsudo/phpmyadmin-snapshots,100K+,0,databases-and-storage;web-servers
corpusops/redis,100K+,1,databases-and-storage;message-queues;monitoring-and-observability
postgis/postgis-build-env,100K+,9,data-science;databases-and-storage
shinsenter/phpmyadmin,100K+,3,databases-and-storage;web-servers;developer-tools
islandora/fcrepo6,100K+,0,content-management-system;databases-and-storage;security
dspace/dspace-solr,100K+,1,content-management-system;databases-and-storage;web-servers
docksal/solr,100K+,0,content-management-system;databases-and-storage
corpusops/mongo,100K+,0,databases-and-storage;integration-and-delivery;security
islandora/solr,100K+,0,content-management-system;databases-and-storage;security
islandora/milliner,100K+,0,content-management-system;databases-and-storage;integration-and-delivery
antrea/theia-clickhouse-monitor,100K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
islandora/blazegraph,100K+,0,content-management-system;databases-and-storage;integration-and-delivery
k8ssandra/cass-operator-catalog,7.4K,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
longhornio/upgrade-responder,100K+,0,databases-and-storage
admidio/admidio,100K+,6,content-management-system;databases-and-storage
corpusops/postgis-bare,100K+,0,data-science;databases-and-storage
apache/causeway-app-demo-jpa,100K+,0,databases-and-storage;languages-and-frameworks
drupalci/pgsql-9.1,100K+,0,content-management-system;databases-and-storage;integration-and-delivery
vulhub/minio,100K+,0,databases-and-storage;security
apache/kyuubi,100K+,3,data-science;databases-and-storage;integration-and-delivery
vitess/k8s,100K+,1,databases-and-storage;monitoring-and-observability
islandora/mariadb,100K+,0,content-management-system;databases-and-storage;security
antrea/theia-clickhouse-server,100K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
pgxn/pgxn-tools,100K+,2,databases-and-storage;languages-and-frameworks;integration-and-delivery
docksal/mariadb,100K+,0,databases-and-storage;integration-and-delivery
lintoai/linto-platform-mongodb-migration,100K+,0,databases-and-storage;languages-and-frameworks;integration-and-delivery
openmrs/openmrs-reference-application-3-backend,100K+,3,databases-and-storage;integration-and-delivery;security
firebirdsql/firebird,100K+,20,databases-and-storage;developer-tools
ckan/ckan-base,100K+,6,data-science;databases-and-storage
cleanstart/etcd,6.3K,0,databases-and-storage;integration-and-delivery
docksal/db,100K+,1,databases-and-storage
intel/intel-optimized-mysql,6.2K,1,data-science;databases-and-storage;security
intel/intel-optimized-cassandra,6.0K,1,data-science;databases-and-storage;internet-of-things
hashicorp/postgres-nomad-demo,6.0K,0,databases-and-storage;integration-and-delivery
apache/causeway-app-demo-jdo,100K+,1,databases-and-storage;languages-and-frameworks
ckan/ckan-dev,100K+,0,data-science;databases-and-storage
islandora/base,100K+,2,content-management-system;databases-and-storage;web-servers
