image_name,pull_count
redis/redis-stack-server,17765843
redis/redis-stack,11335416
redis/redisinsight,1156847
redis/rdi-monitor,8764
redis/rdi-collector-api,5655
redis/rdi-api,9079
redis/rdi-processor,5678
redis/rdi-operator,7786
redis/rdi-collector-initializer,6337
bitnami/redis,3301964521
redis/rdi-cli,4653
circleci/redis,214520443
redislabs/redis,4721658
bitnamicharts/redis,26671193
cimg/redis,96495140
redis/redis-di-cli,336
dtagdevsec/redis,2166825
redis/debezium-server,73
elestio/redis,57109
redis/reloader,24
chainguard/redis,19630
corpusops/redis,169154
mcp/redis,2351
vulhub/redis,37334
uselagoon/redis,11209
okteto/redis,968
rootpublic/redis,889
stagex/redis,7008
ilios/redis,6608
openeuler/redis,721
manageiq/redis,93
webhippie/redis,18529219
jelastic/redis,6498769
datasense/redis,28819683
sameersbn/redis,29273743
wodby/redis,2870617
arm32v7/redis,6668951
arm64v8/redis,5009079
cflondonservices/redis,1003736
redisfab/redis,1852636
tiredofit/redis,1784419
danfengliu/redis,6193407
mydock365/redis,488248
eilandert/redis,799812
dynomitedb/redis,488778
scalingo/redis,705822
amd64/redis,962589
ardoq/redis,3161284
tutum/redis,547901
deprecateddockerfile/redis,722249
imagenarium/redis,2787539
gurpartap/redis,630372
ccurd/redis,2067818
i386/redis,650541
healthcheck/redis,1752600
litaio/redis,292695
frodenas/redis,281567
s390x/redis,459893
anchorfree/redis,228299
iconviet/redis,1550342
arm32v6/redis,422063
easyengine/redis,202262
leanlabs/redis,1283028
ppc64le/redis,403610
centos/redis,138584
jumpserver/redis,278011
kubedb/redis,853703
deis/redis,594476
sergioperez98/redis,662583
thedutchselection/redis,58710
hausgold/redis,98162
amazeeio/redis,505152
fulcrum/redis,82734
centurylink/redis,478227
arm32v5/redis,156721
dalinaum/redis,392896
ccitest/redis,68939
e2eteam/redis,361983
cloudron/redis,360067
apiaryio/redis,121473
paunin/redis,47635
stingar/redis,79014
quanted/redis,47181
devdb/redis,46605
mips64le/redis,114797
iynere/redis,315548
johncosta/redis,121719
bilalnn/redis,316159
drud/redis,31506
streamr/redis,301942
appsdeck/redis,257593
metowolf/redis,53896
tetrate/redis,270636
convox/redis,238260
olono/redis,258185
armhf/redis,85490
openiamdocker/redis,228173
aptible/redis,247781
mongo,4564488373
circleci/mongo,49741315
litmuschaos/mongo,8232622
corpusops/mongo,149526
